canonical_year,proposed_episode_number,canonical_date,title,status,master_audio_source,preferred_local_file,rss_episode_id,review_flags
2015,29,2015-04-29,"April 27, 2015 Podcast",rss-only,rss,,april-27-2015-podcast-4a12fb63ce,
2015,30,2015-05-05,"May 4, 2015 Podcast",confirmed,rss,2015/20150504.mp3,may-4-2015-podcast-a9526c79f6,
2015,31,2015-05-11,,local-only,local,2015/Live From The Path - 5-11-2015 (2016_10_07 00_26_59 UTC).mp3,,
2015,32,2015-05-13,"May 11, 2015 Podcast",confirmed,rss,2015/20150511.mp3,may-11-2015-podcast-73cf64f057,
2015,33,2015-05-18,,local-only,local,2015/20150518TIA (2016_10_07 00_26_59 UTC).mp3,,
2015,34,2015-05-18,,local-only,local,2015/20150518 (2016_10_07 00_26_59 UTC).mp3,,
2015,35,2015-05-18,,local-only,local,"2015/Live From The Path - May 18, 2015 (2016_10_07 00_26_59 UTC).mp3",,
2015,36,2015-05-22,"May 18, 2015 Podcast",rss-only,rss,,may-18-2015-podcast-f9265c15b7,
2015,37,2015-06-02,"June 1, 2015 Podcast",confirmed,rss,2015/20150601.mp3,june-1-2015-podcast-5a5d738e76,
2015,38,2015-06-08,,local-only,local,"2015/Live From The Path - June 8, 2015 (2016_10_07 00_26_59 UTC).mp3",,
2015,39,2015-06-09,"June 8, 2015 Podcast",confirmed,rss,2015/20150608.mp3,june-8-2015-podcast-39fdb911a0,
2015,40,2015-06-19,"June 15, 2015 Podcast",confirmed,rss,2015/20150615.mp3,june-15-2015-podcast-63b16d767a,
2015,41,2015-06-24,"June 22, 2015 Podcast",confirmed,rss,2015/20150622 (2016_10_07 00_26_59 UTC).mp3,june-22-2015-podcast-8cb941897f,
2015,42,2015-06-30,"June 29, 2015 Podcast",confirmed,rss,2015/20150629.mp3,june-29-2015-podcast-7df9273e60,
2015,43,2015-07-07,July 7 2015 Podcast,confirmed,rss,2015/20150706.mp3,july-7-2015-podcast-dd820b3593,
2015,44,2015-07-13,,local-only,local,2015/20150713 (2016_10_07 00_26_59 UTC).mp3,,
2015,45,2015-07-17,July 13 2015 Podcast,rss-only,rss,,july-13-2015-podcast-db74a3350e,
2015,46,2015-07-22,July 20 2015 Podcast – Driven 11,confirmed,rss,2015/20150720 (2016_10_07 00_26_59 UTC).mp3,july-20-2015-podcast-driven-11-6f9f325b35,
2015,47,2015-07-27,,local-only,local,2015/Live From The Path - 7-27-2015 (2016_10_07 00_26_59 UTC).mp3,,
2015,48,2015-07-29,July 27 2015 Podcast – Eisenlauer Team,confirmed,rss,2015/20150727 (2016_10_07 00_26_59 UTC).mp3,july-27-2015-podcast-eisenlauer-team-bb27160a9c,
2015,49,2015-08-04,"August 3, 2015 Podcast",confirmed,rss,2015/20150803.mp3,august-3-2015-podcast-8630305c5b,
2015,50,2015-08-10,,local-only,local,"2015/Live From The Path - August 10, 2015 (2016_10_07 00_26_59 UTC).mp3",,
2015,51,2015-08-11,"August 10, 2015 Podcast",confirmed,rss,2015/20150811.mp3,august-10-2015-podcast-4c16e51f1c,
2015,52,2015-08-18,"August 17, 2015 Podcast",confirmed,rss,2015/20150817.mp3,august-17-2015-podcast-c93ed25f66,
2015,53,2015-08-24,,local-only,local,"2015/Live From The Path - August 24, 2015 (2016_10_07 00_26_59 UTC).mp3",,
2015,54,2015-08-26,"August 24, 2015 Podcast",confirmed,rss,2015/20150824.mp3,august-24-2015-podcast-4ec215ed0f,
2015,55,2015-09-01,"August 31, 2015 Podcast",confirmed,rss,2015/20150831.mp3,august-31-2015-podcast-04531b6f97,
2015,56,2015-09-08,"September 7, 2015 Podcast",confirmed,rss,2015/20150907.mp3,september-7-2015-podcast-7796fc88e3,
2015,57,2015-09-22,"September 21, 2015 Podcast",confirmed,rss,2015/20150921.mp3,september-21-2015-podcast-b02260f58e,
2015,58,2015-09-29,"September 28, 2015 Podcast",confirmed,rss,2015/20150928.mp3,september-28-2015-podcast-502b441724,
2015,59,2015-10-06,"October 5, 2015 Podcast",confirmed,rss,2015/20151005.mp3,october-5-2015-podcast-b113b7aa1a,
2015,60,2015-10-13,"October 12, 2015 Podcast",confirmed,rss,2015/20151012.mp3,october-12-2015-podcast-c05688bf8a,
2015,61,2015-10-20,"October 19, 2015 Podcast",confirmed,rss,2015/20151019.mp3,october-19-2015-podcast-14c6cb7bca,
2015,62,2015-10-29,"October 26, 2015 Podcast",rss-only,rss,,october-26-2015-podcast-339a785709,
2015,63,2015-11-10,"November 2, 2015 Podcast",confirmed,rss,2015/20151102.mp3,november-2-2015-podcast-a0338a0be2,
2015,64,2015-11-10,"November 9, 2015 Podcast",confirmed,rss,2015/20151109.mp3,november-9-2015-podcast-57e812b5f3,
2015,65,2015-11-17,"November 16, 2015 Podcast",confirmed,rss,2015/20151116.mp3,november-16-2015-podcast-c238c38c5e,
2015,66,2015-11-24,"November 23, 2015 Podcast",confirmed,rss,2015/20151123.mp3,november-23-2015-podcast-1dff7e09b8,
2015,67,2015-12-01,"November 30, 2015 Podcast",confirmed,rss,2015/20151130.mp3,november-30-2015-podcast-eb1c101da7,
2015,68,2015-12-08,"December 7, 2015 Podcast",confirmed,rss,2015/20151207 (2016_10_07 00_26_59 UTC).mp3,december-7-2015-podcast-d3e8ab5866,
2015,69,2015-12-23,Retro LFTP: 1st Episode,rss-only,rss,,retro-lftp-1st-episode-6491c027de,
2015,70,,Live From The Path - Silversyde 2015,confirmed,local,2015/Live From The Path - Silversyde 2015 (2016_10_07 00_26_59 UTC).mp3,,Exact episode date unresolved
2016,1,2016-01-05,"2016 Episode 1 | Hell, Closed Handed Issues, and Prophecy",confirmed,rss,2016/20160104.mp3,2016-episode-1-hell-closed-handed-issues-and-pro-1ce70e758e,
2016,2,2016-01-12,2016 Episode 2,confirmed,rss,2016/20160112.mp3,2016-episode-2-3fa7e13d2e,
2016,3,2016-01-19,2016 Episode 3,confirmed,rss,2016/20160118.mp3,2016-episode-3-00a957fe06,
2016,4,2016-01-26,2016 Episode 4,confirmed,rss,2016/20160125.mp3,2016-episode-4-a991ce0f7b,
2016,5,2016-02-02,2016 Episode 5,confirmed,rss,2016/20160201.mp3,2016-episode-5-19b260c774,
2016,6,2016-02-09,2016 Episode 6,confirmed,rss,2016/20160208.mp3,2016-episode-6-cbc98a252e,
2016,7,2016-02-16,2016 Episode 7,confirmed,rss,2016/20160215.mp3,2016-episode-7-8ff2c35aab,
2016,8,2016-02-23,2016 Episode 8,confirmed,rss,2016/20160223.mp3,2016-episode-8-7d0ca85ebf,
2016,9,2016-03-01,2016 Episode 9,rss-only,rss,,2016-episode-9-7a5bb83344,
2016,10,2016-03-17,2016 Episode 10,confirmed,rss,2016/20160314.mp3,2016-episode-10-9945f0890b,
2016,11,2016-03-22,2016 Episode 11,confirmed,rss,2016/20160321E10.mp3,2016-episode-11-bc14e5e5bd,
2016,12,2016-03-29,2016 Episode 12,confirmed,rss,2016/20160328.mp3,2016-episode-12-3b483bdfa4,
2016,13,2016-04-11,2016 E13 | 04/11/2016,local-only,local,2016/20160411 (2016_10_07 00_26_59 UTC).mp3,,
2016,14,2016-04-15,2016 Episode 13,rss-only,rss,,2016-episode-13-c801fdde40,
2016,15,2016-04-18,,local-only,local,2016/20160418 (2016_10_07 00_26_59 UTC).mp3,,
2016,16,2016-04-27,2016 Episode 14,rss-only,rss,,2016-episode-14-0acb302933,
2016,17,2016-04-27,2016 Episode 15,confirmed,local-recovery,2016/20160425 (2016_10_07 00_26_59 UTC).mp3,2016-episode-15-2df347a1ec,
2016,18,2016-05-11,2016 Episode 17,confirmed,rss,2016/20160509.mp3,2016-episode-17-70698b783e,
2016,19,2016-05-17,2016 Episode 18,confirmed,rss,2016/20160516.mp3,2016-episode-18-1c09cd5617,
2016,20,2016-05-24,2016 Episode 19,rss-only,rss,,2016-episode-19-841aedc3d8,
2016,21,2016-06-07,2016 Episode 20,confirmed,rss,2016/20160606.mp3,2016-episode-20-da81d522f6,
2016,22,2016-06-21,2016 Episode 21,confirmed,rss,2016/20160613.mp3,2016-episode-21-415a909f26,
2016,23,2016-06-21,2016 Episode 22,confirmed,rss,2016/20160620.mp3,2016-episode-22-c038436afc,
2016,24,2016-06-28,2016 Episode 23,confirmed,rss,2016/20160627.mp3,2016-episode-23-377946b0ca,
2016,25,2016-07-12,2016 Episode 24,confirmed,rss,2016/20160711.mp3,2016-episode-24-847ba0d023,
2016,26,2016-07-19,2016 Episode 25,confirmed,rss,2016/20160718.mp3,2016-episode-25-643b7be317,
2016,27,2016-07-26,2016 Episode 26,confirmed,rss,2016/20160725.mp3,2016-episode-26-30e9188dca,
2016,28,2016-08-09,2016 Episode 27,confirmed,rss,2016/20160801.mp3,2016-episode-27-8338022b2c,
2016,29,2016-08-09,2016 Episode 28,confirmed,rss,2016/20160808.mp3,2016-episode-28-76efe49e3d,
2016,30,2016-08-18,2016 Episode 29,confirmed,rss,2016/20160815.mp3,2016-episode-29-6cbc27897e,
2016,31,2016-08-23,2016 Episode 30,confirmed,rss,2016/20160822.mp3,2016-episode-30-479bfa2128,
2016,32,2016-08-30,2016 Episode 31,confirmed,rss,2016/20160829.mp3,2016-episode-31-31d1f631fa,
2016,33,2016-09-06,2016 Episode 32,confirmed,rss,2016/20160905.mp3,2016-episode-32-fb97a96e02,
2016,34,2016-09-13,2016 Episode 33,confirmed,rss,2016/20160912.mp3,2016-episode-33-c395157afc,
2016,35,2016-09-27,2016 Episode 34,confirmed,rss,2016/20160926.mp3,2016-episode-34-d6c981e65f,
2016,36,2016-10-05,2016 Episode 35,confirmed,rss,2016/20161003.mp3,2016-episode-35-03f99ff222,
2016,37,2016-10-12,2016 Episode 36,confirmed,rss,2016/20161010.mp3,2016-episode-36-aa1373a7a1,
2016,38,2016-10-18,2016 Episode 37,confirmed,rss,2016/20161017.mp3,2016-episode-37-4c27010404,
2016,39,2016-10-25,2016 Episode 38,confirmed,rss,2016/20161024.mp3,2016-episode-38-da78c6362e,
2016,40,2016-11-01,2016 Episode 39,confirmed,rss,2016/20161031.mp3,2016-episode-39-3876a2d1fa,
2016,41,2016-11-08,2016 Episode 40,confirmed,rss,2016/20161107.mp3,2016-episode-40-79425106f4,
2016,42,2016-11-15,2016 Episode 41,confirmed,rss,2016/20161114.mp3,2016-episode-41-208c6be6c5,
2016,43,2016-11-22,2016 Episode 42,confirmed,rss,2016/20161121.mp3,2016-episode-42-08cf2f16df,
2016,44,2016-11-29,2016 Episode 43,rss-only,rss,,2016-episode-43-04d086894a,
2016,45,2016-12-20,2016 Episode 44,rss-only,rss,,2016-episode-44-1dcb828cc2,
2016,46,,Live From The Path w/ Jacey,local-only,local,2016/Live From The Path - Live From The Path w- Jacey (2016_10_07 00_26_59 UTC).mp3,,Exact episode date unresolved
2017,1,2017-01-03,2017 Episode 1,rss-only,rss,,ep-001-e8e472284f,
2017,2,2017-01-13,2017 Episode 2,rss-only,rss,,2017-episode-2-713ab37133,
2017,3,2017-01-31,2017 Episode 3,confirmed,rss,2017/20170130.mp3,2017-episode-3-cf0cb680c6,
2017,4,2017-02-14,2017 Episode 4,confirmed,rss,2017/20170213.mp3,2017-episode-4-8807f74f09,
2017,5,2017-02-21,2017 Episode 5,rss-only,rss,,2017-episode-5-8479e8aef1,
2017,6,2017-02-28,2017 Episode 6,rss-only,rss,,2017-episode-6-2955ffa381,
2017,7,2017-03-09,2017 Episode 7,rss-only,rss,,2017-episode-7-233e6eebf5,
2017,8,2017-03-14,2017 Episode 8,confirmed,rss,2017/20170313.mp3,ep-008-4ceb642f3e,
2017,9,2017-03-21,2017 Episode 9,confirmed,rss,2017/20170320.mp3,2017-episode-9-0a93ca4502,
2017,10,2017-03-28,2017 Episode 10,confirmed,rss,2017/20170327.mp3,2017-episode-10-fd85c724f2,
2017,11,2017-04-11,2017 Episode 11,confirmed,rss,2017/20170411.mp3,2017-episode-11-fff401e20f,
2017,12,2017-04-18,2017 Episode 12,confirmed,rss,2017/20170417.mp3,2017-episode-12-bbcfa855e9,
2017,13,2017-04-30,2017 Episode 13,confirmed,rss,2017/20170424.mp3,2017-episode-13-3badc9ac32,
2017,14,2017-05-02,2017 Episode 14,confirmed,rss,2017/20170501.mp3,ep-014-4c29b60980,
2017,15,2017-05-09,2017 Episode 15,confirmed,rss,2017/20170508.mp3,2017-episode-15-62ed778169,
2017,16,2017-05-16,Survey Says,confirmed,rss,2017/20170515.mp3,ep-017-850ae14184,
2017,17,2017-05-23,The Man Romper,confirmed,rss,2017/20170522.mp3,ep-017-4e10cdbd45,
2017,18,2017-06-06,Guppies and Pumpkins,confirmed,rss,2017/20170605.mp3,ep-018-6dd8275e8e,
2017,19,2017-06-13,"Too Long, Didn’t Read It",confirmed,rss,2017/20170612.mp3,ep-019-34901492af,
2017,20,2017-06-20,From Rib to Reality,confirmed,rss,2017/20170619.mp3,ep-020-3033040430,
2017,21,2017-07-25,Got You Under My Skin,rss-only,rss,,ep-022-7eb1bcee42,
2017,22,2017-08-21,Hippo Valley PTA,confirmed,rss,2017/LFTP20170731.mp3,ep-023-a73cd6f7a7,
2017,23,2017-08-21,Discover Hope 5:17,confirmed,rss,2017/LFTP20170815.mp3,ep-024-ae948b33b4,
2017,24,2017-09-06,Texas Flood,rss-only,rss,,ep-025-a41785722c,
2017,25,2017-09-06,"Beg Your Pardon, Joel",confirmed,rss,2017/20170904E26.mp3,ep-026-134c99b825,
2017,26,2017-09-26,To Kneel or to Drag,rss-only,rss,,ep-027-e2fdb2148f,
2017,27,2017-10-22,The Christian Lorax,rss-only,rss,,ep-028-bffe3f407e,
2017,28,2017-10-22,"Crystal Joy, Completely Yours",confirmed,rss,2017/20171016.mp3,ep-029-4ef2c80abd,
2017,29,2017-10-24,Good News Changes the World: Health Care,rss-only,rss,,ep-030-13cac210e1,
2017,30,2017-11-22,Why Ladies Cheat,rss-only,rss,,ep-031-8a84c185fb,
2017,31,2017-11-29,Wings of Refuge,confirmed,rss,2017/20171128.mp3,ep-032-693a932c90,
2018,1,2018-01-17,Following the News,rss-only,rss,,ep-001-e6395023a7,
2018,2,2018-01-23,Kenny Got A Plane,rss-only,rss,,ep-002-cf2398c51e,
2018,3,2018-02-06,Rightfully Miffed,rss-only,rss,,ep-003-6d4c70d4fd,
2018,4,2018-02-27,Hinny Penny,rss-only,rss,,ep-004-3687f2b0b4,
2018,5,2018-03-06,Dirges,rss-only,rss,,ep-005-3e4afe5e95,
2018,6,2018-03-13,Egypt Jane,rss-only,rss,,ep-006-d224c6b7a3,
2018,7,2018-04-04,2018 Episode 6.5,rss-only,rss,,2018-episode-6-5-3ae72dc901,
2018,8,2018-04-10,Grammys and Cheeseburgers,rss-only,rss,,ep-007-e11cf603b7,
2018,9,2018-04-17,God and Hamilton,confirmed,rss,2018/20180416.mp3,ep-008-ca5f401aa4,
2018,10,2018-05-15,Risky Expectations,confirmed,rss,2018/20180514.mp3,ep-009-4028346113,
2018,11,2018-08-07,"Africa, AI and Advice",confirmed,rss,2018/20180806.mp3,ep-011-c53e9d5ed7,
2018,12,2018-08-21,Baby Shark,confirmed,rss,2018/20180820.mp3,ep-012-fef73f2f9e,
2018,13,2018-09-05,It Can Be Done From Jail,confirmed,rss,2018/20180903.mp3,ep-013-3a62c3a003,
2018,14,2018-09-18,Marriage For One,confirmed,rss,2018/20180917.mp3,ep-014-d300302fd8,
2018,15,2018-09-25,Our Daily Brad,confirmed,rss,2018/20180924.mp3,ep-015-af05502ec7,
2018,16,2018-10-09,Non-habitual,confirmed,rss,2018/20181008.mp3,ep-014-ef7c6e8e20,
2018,17,2018-10-16,Sabbath or Nah,confirmed,rss,2018/20181015.mp3,ep-017-9f8076d313,
2018,18,2018-10-23,The Weight of Grace,confirmed,rss,2018/20181022.mp3,ep-018-8055a3c660,
2018,19,2018-11-06,Hide It Under A Bush,confirmed,rss,2018/20181105.mp3,ep-019-bbe9ed7787,
2018,20,2018-11-13,Operation Christmas Trouble,confirmed,rss,2018/20181112.mp3,ep-020-b49953ea32,
2018,21,2018-11-20,Paul The Intern,confirmed,rss,2018/20181119.mp3,ep-021-1b9ce0468a,
2018,22,2018-12-04,A Bad Hombre Does Bad Things,confirmed,local-recovery,2018/20181126.mp3,ep-022-6b5dbf3a62,
2018,23,2018-12-11,Divided We Thrive,confirmed,rss,2018/20181210.mp3,ep-024-3a2e6f24ba,
2019,1,2019-01-15,Dan 4 Prez,confirmed,rss,2019/20190114.mp3,ep-001-4c679108e1,
2019,2,2019-01-29,Here’s My Card,confirmed,rss,2019/20190128.mp3,ep-002-c8ba10a831,
2019,3,2019-02-26,Millenio Evangelo,confirmed,rss,2019/20190225.mp3,ep-003-e017b4cde5,
2019,4,2019-03-13,Golden Calf Purity Rings,confirmed,rss,2019/20190311.mp3,ep-004-07c9412b43,
2019,5,2019-03-26,Opportunity By Association,confirmed,rss,2019/20190325.mp3,ep-003-26d2a49680,
2019,6,2019-04-09,Beyond the Country,confirmed,rss,2019/20190408.mp3,ep-006-b6396732e2,
2019,7,2019-04-16,Sir Billy McAllistair,confirmed,rss,2019/20190415.mp3,ep-007-a8c2058d86,
2019,8,2019-04-23,"Kids, Eat Free",confirmed,rss,2019/20190422.mp3,ep-008-c81e17215f,
2019,9,2019-05-07,Live From The Path | 2019 E10,local-only,local,2019/20190507.mp3,,
2019,10,2019-05-07,Into the Weeds,confirmed,local-recovery,2019/20190429.mp3,ep-009-ab3e7ade7c,
2019,11,2019-05-07,A Deep One,rss-only,rss,,ep-010-3150559a5d,
2019,12,2019-06-06,Interview with Zebedee,confirmed,rss,2019/2019_episode11.mp3,ep-011-aafe9f7862,
2019,13,2019-06-06,40 and Out,confirmed,rss,2019/2019_episode12.mp3,ep-012-cb0a23e97d,
2019,14,2019-06-11,Don’t Wet Your Pants,confirmed,rss,2019/20190610.mp3,ep-013-ed39b95a2c,
2019,15,2019-07-01,Live From The Path | 2019 E14,local-only,local,2019/20190701.mp3,,
2019,16,2019-07-02,The 104th Psalm,rss-only,rss,,ep-014-6e6314d867,
2019,17,2019-07-09,Zimbobster,confirmed,rss,2019/20190708.mp3,ep-015-2f70936ed3,
2019,18,2019-08-05,People Who Don’t Know Pat Sajack,confirmed,rss,2019/20190723.mp3,ep-015-ab8db5a908,
2019,19,2019-08-08,Methodist Lutheran Baptist,confirmed,rss,2019/20190805.mp3,ep-014-49f73e8141,
2019,20,2019-08-20,Scrub Your Yellas,confirmed,rss,2019/20190820.mp3,ep-018-5564d74bee,
2019,21,2019-08-29,Does This Holy Spirit Make Me Look Fat?,confirmed,rss,2019/20190826.mp3,ep-019-a4f76e03f0,
2019,22,2019-09-03,Live From The Path | 2019 E20,local-only,local,2019/20190903.mp3,,
2019,23,2019-09-03,Fascinating or Not Fascinating,rss-only,rss,,ep-020-95275f9721,
2019,24,2019-09-24,Friends in Muslim Places,confirmed,rss,2019/20190923.mp3,ep-021-166616bb61,
2019,25,2019-10-15,And Then I Got High,confirmed,rss,2019/20191014.mp3,ep-022-a2192b5dfc,
2019,26,2019-10-22,Trigger Me This,confirmed,rss,2019/20191021.mp3,ep-023-a974e2f6dd,
2019,27,2019-11-05,Live From The Path | 2019 E24,local-only,local,2019/20191105.mp3,,
2019,28,2019-11-05,August Guns,rss-only,rss,,ep-024-5b8f5f25fd,
2019,29,2019-11-12,"Moving Chan, Creeper Crist, and Pulpit Bullies",confirmed,rss,2019/20191111.mp3,ep-025-79c7c092dc,
2019,30,2019-11-22,"At Me, Bro",confirmed,rss,2019/20191118.mp3,ep-026-5e286bca88,
2019,31,2019-11-29,Renewing Deuces and Fearing God,confirmed,rss,2019/20191125x.mp3,ep-027-62c6a01609,
2019,32,2019-12-10,Allie Crummy and Video Game Jesus,confirmed,rss,2019/20191209.mp3,ep-028-a7c3a62f14,
2019,33,2019-12-24,Impeachment and the Pat Brigade,confirmed,rss,2019/20191223.mp3,ep-029-ee66008231,
2019,34,2019-12-31,Pastor Prints Face on Panties: A Rebuke in Three Parts,confirmed,rss,2019/20191230.mp3,ep-030-349c1adcde,
2020,1,2020-01-07,They Let Us On Legit Radio,rss-only,rss,,ep-001-da8037a25c,
2020,2,2020-01-14,More Generous Than Las Vegas,rss-only,rss,,ep-002-0dc650cdf0,
2020,3,2020-01-21,Interview: Phillip Ramsey with Uncommon Wealth Partners,confirmed,rss,2020/20200121.mp3,ep-003-9aa3463f65,
2020,4,2020-02-04,"Tunes with Jeff Arrandale, Prodigal Junk, and Drifting Families",confirmed,rss,2020/02032020.mp3,ep-004-cbba742eff,
2020,5,2020-02-18,How the Church is Solving Every Modern Problem Incorrectly,confirmed,rss,2020/20200217.mp3,ep-005-edaf521aae,
2020,6,2020-03-03,Pet Pastoring and Confounded on Dear LFTP,confirmed,rss,2020/20200302.mp3,ep-006-94b44e3702,
2020,7,2020-03-11,Interview with Blake Stanley with BLDR Apparel,confirmed,rss,2020/20200309.mp3,ep-007-68e6890a49,
2020,8,2020-03-17,Thus It Begins…COVID,confirmed,rss,2020/20200316.mp3,ep-008-516f3d4521,
2020,9,2020-03-24,COVID Continues and Easter at Home,confirmed,rss,2020/20200323_E09.mp3,ep-009-7115bbcf9f,
2020,10,2020-03-31,Ineffective Conspiracies and Monday Morning Christians,confirmed,rss,2020/20200330_E10.mp3,ep-010-9d77e0e934,
2020,11,2020-04-08,"Online COVID Church, Creepy Copeland, Advice",confirmed,rss,2020/20200406_E11.mp3,ep-012-de042d21cd,
2020,12,2020-04-14,It’s OK to Stay Home,confirmed,rss,2020/20200413_E12.mp3,ep-012-e8ee702ddc,
2020,13,2020-04-21,Little Things and Greeting Cards to Jesus,confirmed,rss,2020/20200420_E13.mp3,ep-013-e5d8e8e9e0,
2020,14,2020-04-28,The Dumpster Fire,confirmed,rss,2020/20200427_E14.mp3,ep-014-0a3969672a,
2020,15,2020-05-12,Reading Revelation Wrong,confirmed,rss,2020/20200511_E15.mp3,ep-015-ca57d4a9a7,
2020,16,2020-05-19,A COVID Debrief,confirmed,rss,2020/20200518_E16.mp3,ep-016-88360b9263,
2020,17,2020-05-26,Can We Always Be Like Jesus?,confirmed,rss,2020/20200525_E17.mp3,ep-017-11585e6cc7,
2020,18,2020-06-16,"Gone, Gone Boova",confirmed,rss,2020/20200615_E18d.mp3,ep-018-a4173958e2,
2020,19,2020-06-23,Super Sign of the End Times,confirmed,rss,2020/20200622_E19.mp3,ep-019-3caf9a9b81,
2020,20,2020-09-01,Robert E. Lee Stained Glass & Freeloaders,rss-only,rss,,ep-020-bc7b2d8eaa,
2020,21,2020-10-04,Interview with Eddie Andrews,confirmed,rss,2020/2020_LFTP_Episode21.mp3,ep-021-1134aadbc3,
2020,22,2020-10-04,Dudes Are Prone to Buffoonery,confirmed,rss,2020/20200921_LFTP_Episode22.mp3,ep-022-6fc367f70f,
2020,23,2020-10-07,Reviewing Sermons from America’s Largest Churches,confirmed,rss,2020/202010928_Episode23.mp3,ep-023-d0d4e17de4,
2020,24,2020-10-07,"Ghosts, Humility and Bad Memories",confirmed,rss,2020/20201005_Episode24.mp3,ep-024-582dc5fb98,
2020,25,2020-10-14,Youngsters and Hawk Nelson are Bailing on Jesus,confirmed,rss,2020/20201013_Episode24_2.mp3,ep-025-932de0c91f,
2020,26,2020-11-06,"Motivational Monday – Prayer Cubes, Justice and Consequences",confirmed,rss,2020/20201102_Episode26.mp3,ep-026-fe19659488,
2020,27,2020-12-08,Interview with Sean Covington,confirmed,rss,2020/20201130_E27.mp3,ep-027-3b90aa89b3,
2020,28,2020-12-08,Top Bible Searches of 2020,confirmed,rss,2020/20201207_E28.mp3,ep-028-a131f06034,
2020,29,2020-12-16,"Election Stuff, Reluctantly",confirmed,rss,2020/20201214_episode29.mp3,ep-029-0e6d00e75f,
2020,30,,Live From The Path | 2020 E19,local-only,local,2020/Untitled.mp3,,Exact episode date unresolved
2021,1,2021-01-05,Back to Basics,confirmed,rss,2021/20210104_Episode01.mp3,ep-001-ee04ef647e,
2021,2,2021-01-12,What Christians Do in a Divided Country,confirmed,rss,2021/20210111_Episode02.mp3,ep-002-2118481794,
2021,3,2021-01-19,"Jesus, Technology and Persecution",confirmed,rss,2021/20210118_Episode03.mp3,ep-003-96b68e09e5,
2021,4,2021-02-02,2021 Episode 04,confirmed,rss,2021/20210201_Episode04.mp3,ep-004-45e62a9c7c,
2021,5,2021-02-09,When Culture Lacks Objective Reality,confirmed,rss,2021/20210208_Episode05.mp3,ep-005-5180f31b43,
2021,6,2021-03-16,Love Does,confirmed,rss,2021/20210315_Episode06.mp3,ep-006-a4abe8c7c2,
2021,7,2021-03-31,Confidence in the Holy Spirit,confirmed,rss,2021/20210329_Episode07.mp3,ep-007-8814798e75,
2021,8,2021-04-20,Wasting Time & Leaving Christianity,confirmed,rss,2021/20210412_Episode08.mp3,ep-008-700c9bd81b,
2021,9,2021-04-27,Old Church Ideas,confirmed,rss,2021/20210426_Episode09.mp3,ep-009-efddf5d48e,
2021,10,2021-05-04,Following the American Jesus,confirmed,rss,2021/20210503_Episode10.mp3,ep-010-df64a38622,
2021,11,2021-06-22,Sober Soldierz,confirmed,rss,2021/2021_Episode11.mp3,ep-011-74b5913a9f,
2021,12,2021-06-22,Advice Only,confirmed,rss,2021/2021_Episode12.mp3,ep-012-a784084536,
2021,13,2021-06-23,Participating in God’s Will and other sundry advice,confirmed,rss,2021/2021_Episode13.mp3,ep-013-cb17691125,
2021,14,2021-06-23,The Heavy,confirmed,rss,2021/2021_Episode14.mp3,ep-014-93b25ad8a9,
2021,15,2021-07-19,,local-only,local,2021/2021-07-19 21-52-17.mp3,,
2021,16,2021-07-19,Rebuilding Tower of Babel,rss-only,rss,,ep-015-e04ab2e09a,
2021,17,2021-07-26,,local-only,local,2021/2021-07-26 21-37-15.mp3,,
2021,18,2021-08-02,Failures,confirmed,rss,2021/2021_Episode16.mp3,ep-016-928be66bca,
2021,19,2021-08-02,Rejuvenating Prayer,confirmed,rss,2021/2021_Episode17.mp3,ep-017-fbfd462e64,
2021,20,2021-08-09,Acting When God Speaks,confirmed,rss,2021/2021_Episode18.mp3,ep-018-4ec8eba2b3,
2021,21,2021-08-10,What Is Truth?,confirmed,rss,2021/2021_Episode19-1.mp3,ep-019-4a705e8a64,
2021,22,2021-08-18,Redeem or Reject,confirmed,rss,2021/2021_Episode20.mp3,ep-020-295a5a9bf9,
2021,23,2021-08-30,"Right Thing, Wrong Way",confirmed,rss,2021/2021_Episode21_RAW.mp3,ep-021-d03985d96d,
2021,24,2021-09-16,Christians Don’t Understand Christianity,confirmed,rss,,ep-022-7dba1a79b2,
2021,25,2021-09-28,Cry Me A River…Then Build A Bridge,confirmed,rss,2021/2021_Episode23_RAW.mp3,ep-023-75bf0ecc66,
2021,26,2021-10-11,,local-only,local,2021/2021-10-11 22-05-59.mp3,,
2021,27,2021-10-11,Fake Persecution and Tripping Millennials,rss-only,rss,,ep-024-3889be2247,
2021,28,2021-10-25,,local-only,local,2021/2021-10-25 22-18-25.mp3,,
2021,29,2021-10-28,Fresh Perspectives,rss-only,rss,,ep-025-873766838a,
2021,30,2021-10-28,Being a Tool for Halloween,rss-only,rss,,ep-026-e740f84b75,
2021,31,2021-11-01,,local-only,local,2021/2021-11-01 21-56-42.mp3,,
2021,32,2021-11-08,,confirmed,local,2021/2021-11-08 21-34-14-converted.mp3,,
2021,33,2021-11-20,Go Fund Thee,rss-only,rss,,ep-027-326fe7ac8e,
2021,34,2021-12-08,Mississippi Don’t Push,rss-only,rss,,ep-028-09bf1b1852,
2021,35,2021-12-08,Good News of Narrow Focus,confirmed,rss,2021/2021-12-06 21-29-21-converted.mp3,ep-029-fb2becc8a8,
2021,36,2021-12-20,False Teachers and Freeloaders,confirmed,rss,2021/2021_Episode30.mp3,ep-030-2c550e4621,
